iter	Passed	Remaining
1252	29941	29798
1253	29969	29778
1254	29990	29751
1255	30013	29726
1256	30036	29701
1257	30057	29675
1258	30080	29650
1259	30104	29626
1260	30128	29602
1261	30149	29575
1262	30170	29549
1263	30195	29526
1264	30217	29501
1265	30241	29476
1266	30263	29451
1267	30285	29425
1268	30312	29404
1269	30335	29380
1270	30359	29356
1271	30381	29330
1272	30403	29304
1273	30425	29279
1274	30449	29255
1275	30475	29233
1276	30498	29208
1277	30521	29183
1278	30545	29160
1279	30569	29136
1280	30593	29112
1281	30617	29088
1282	30640	29064
1283	30664	29040
1284	30690	29018
1285	30715	28996
1286	30741	28973
1287	30765	28950
1288	30793	28930
1289	30815	28904
1290	30839	28880
1291	30861	28855
1292	30883	28829
1293	30906	28804
1294	30928	28779
1295	30949	28752
1296	30970	28725
1297	30989	28697
1298	31008	28669
1299	31028	28641
1300	31046	28612
1301	31066	28584
1302	31085	28557
1303	31105	28528
1304	31124	28501
1305	31146	28475
1306	31166	28447
1307	31186	28420
1308	31206	28393
1309	31226	28365
1310	31246	28338
1311	31265	28310
1312	31287	28284
1313	31308	28258
1314	31327	28230
1315	31347	28202
1316	31367	28176
1317	31386	28147
1318	31405	28119
1319	31433	28099
1320	31454	28073
1321	31476	28047
1322	31499	28023
1323	31521	27998
1324	31543	27972
1325	31565	27947
1326	31588	27922
1327	31612	27898
1328	31634	27873
1329	31661	27852
1330	31686	27829
1331	31712	27808
1332	31740	27787
1333	31764	27764
1334	31788	27740
1335	31809	27714
1336	31832	27689
1337	31855	27665
1338	31880	27642
1339	31901	27616
1340	31923	27591
1341	31945	27565
1342	31967	27540
1343	31988	27514
1344	32011	27489
1345	32032	27463
1346	32056	27439
1347	32083	27418
1348	32109	27396
1349	32132	27372
1350	32156	27348
1351	32180	27325
1352	32203	27300
1353	32226	27275
1354	32246	27249
1355	32271	27226
1356	32297	27204
1357	32319	27178
1358	32341	27153
1359	32363	27128
1360	32385	27102
1361	32408	27078
1362	32429	27052
1363	32452	27027
1364	32474	27002
1365	32496	26977
1366	32518	26952
1367	32540	26927
1368	32563	26902
1369	32587	26878
1370	32608	26852
1371	32634	26830
1372	32657	26805
1373	32683	26784
1374	32706	26760
1375	32735	26740
1376	32759	26717
1377	32785	26694
1378	32808	26670
1379	32832	26646
1380	32856	26622
1381	32879	26598
1382	32903	26574
1383	32922	26547
1384	32942	26520
1385	32962	26493
1386	32982	26467
1387	33002	26440
1388	33022	26413
1389	33042	26386
1390	33062	26359
1391	33084	26334
1392	33105	26308
1393	33126	26282
1394	33152	26260
1395	33175	26235
1396	33195	26209
1397	33215	26182
1398	33234	26155
1399	33255	26129
1400	33276	26103
1401	33299	26078
1402	33317	26051
1403	33336	26023
1404	33355	25996
1405	33374	25968
1406	33396	25943
1407	33418	25918
1408	33440	25893
1409	33461	25867
1410	33483	25842
1411	33508	25819
1412	33535	25798
1413	33567	25780
1414	33588	25755
1415	33614	25733
1416	33648	25717
1417	33674	25695
1418	33698	25671
1419	33729	25653
1420	33754	25630
1421	33894	25694
1422	34093	25803
1423	34163	25814
1424	34202	25801
1425	34234	25783
1426	34267	25766
1427	34296	25746
1428	34318	25721
1429	34339	25694
1430	34361	25668
1431	34383	25643
1432	34404	25617
1433	34426	25591
1434	34449	25566
1435	34470	25540
1436	34491	25514
1437	34515	25490
1438	34537	25465
1439	34561	25441
1440	34582	25414
1441	34603	25388
1442	34628	25365
1443	34653	25342
1444	34678	25318
1445	34700	25293
1446	34725	25269
1447	34746	25244
1448	34767	25218
1449	34790	25193
1450	34812	25167
1451	34834	25142
1452	34858	25118
1453	34878	25091
1454	34897	25064
1455	34916	25036
1456	34934	25008
1457	34955	24981
1458	34973	24953
1459	34993	24926
1460	35012	24899
1461	35032	24872
1462	35052	24845
1463	35071	24818
1464	35089	24790
1465	35107	24762
1466	35126	24734
1467	35151	24711
1468	35170	24683
1469	35188	24655
1470	35207	24628
1471	35226	24600
1472	35246	24574
1473	35267	24548
1474	35287	24522
1475	35309	24496
1476	35330	24470
1477	35352	24445
1478	35376	24421
1479	35400	24397
1480	35426	24375
1481	35453	24353
1482	35476	24328
1483	35500	24304
1484	35522	24280
1485	35545	24255
1486	35568	24230
1487	35590	24205
1488	35614	24181
1489	35641	24159
1490	35665	24135
1491	35691	24113
1492	35714	24089
1493	35736	24063
1494	35757	24037
1495	35781	24013
1496	35801	23987
1497	35824	23962
1498	35848	23938
1499	35872	23914
1500	35895	23890
1501	35916	23864
1502	35938	23839
1503	35959	23813
1504	35981	23788
1505	36003	23763
1506	36024	23737
1507	36047	23712
1508	36069	23687
1509	36091	23662
1510	36113	23637
1511	36135	23612
1512	36159	23588
1513	36182	23563
1514	36203	23538
1515	36227	23514
1516	36252	23491
1517	36277	23468
1518	36298	23442
1519	36322	23418
1520	36344	23393
1521	36367	23368
1522	36395	23347
1523	36419	23323
1524	36443	23299
1525	36464	23274
1526	36489	23250
1527	36513	23227
1528	36537	23203
1529	36563	23180
1530	36589	23157
1531	36615	23135
1532	36642	23113
1533	36666	23089
1534	36691	23066
1535	36714	23042
1536	36739	23018
1537	36762	22994
1538	36787	22971
1539	36811	22947
1540	36835	22923
1541	36864	22902
1542	36887	22878
1543	36906	22851
1544	36925	22824
1545	36944	22797
1546	36964	22771
1547	36984	22744
1548	37005	22719
1549	37025	22692
1550	37044	22666
1551	37062	22638
1552	37082	22612
1553	37102	22586
1554	37121	22559
1555	37141	22533
1556	37161	22506
1557	37181	22481
1558	37201	22454
1559	37261	22452
1560	37290	22431
1561	37311	22406
1562	37333	22381
1563	37359	22358
1564	37385	22335
1565	37407	22310
1566	37427	22284
1567	37455	22263
1568	37477	22237
1569	37500	22213
1570	37521	22188
1571	37545	22164
1572	37567	22139
1573	37589	22114
1574	37613	22090
1575	37637	22066
1576	37664	22044
1577	37690	22021
1578	37716	21999
1579	37739	21974
1580	37765	21952
1581	37789	21928
1582	37813	21904
1583	37835	21879
1584	37856	21854
1585	37879	21829
1586	37901	21804
1587	37923	21779
1588	37946	21755
1589	37967	21729
1590	37989	21705
1591	38013	21681
1592	38045	21661
1593	38071	21639
1594	38094	21615
1595	38120	21592
1596	38145	21568
1597	38165	21542
1598	38189	21519
1599	38218	21497
1600	38245	21475
1601	38266	21449
1602	38286	21424
1603	38309	21399
1604	38330	21374
1605	38353	21349
1606	38374	21324
1607	38394	21298
1608	38417	21274
1609	38441	21250
1610	38462	21224
1611	38483	21199
1612	38506	21175
1613	38537	21154
1614	38562	21131
1615	38587	21108
1616	38610	21084
1617	38636	21061
1618	38658	21036
1619	38687	21015
1620	38708	20989
1621	38729	20964
1622	38753	20940
1623	38775	20916
1624	38801	20893
1625	38824	20868
1626	38847	20844
1627	38869	20819
1628	38890	20794
1629	38911	20768
1630	38932	20743
1631	38953	20717
1632	38974	20692
1633	38994	20666
1634	39013	20639
1635	39033	20614
1636	39051	20587
1637	39070	20561
1638	39091	20535
1639	39110	20509
1640	39128	20482
1641	39148	20456
1642	39168	20430
1643	39187	20404
1644	39208	20379
1645	39232	20355
1646	39250	20328
1647	39269	20301
1648	39287	20275
1649	39306	20248
1650	39327	20223
1651	39350	20199
1652	39372	20174
1653	39394	20149
1654	39415	20124
1655	39437	20099
1656	39461	20076
1657	39482	20050
1658	39504	20025
1659	39526	20001
1660	39547	19976
